N,P,K,temperature,humidity,ph,rainfall,label
47.15,62.03,42.71,34.697828,96.566328,7.833605,172.238593,papaya
83.09,56.33,55.31,24.209946,75.783792,7.249023,193.615642,jute
93.65,47.81,14.84,20.424829,64.597268,6.524888,71.412644,maize
6.71,135.08,193.7,12.855041,95.371358,6.792046,126.849812,apple
22.57,74.9,25.58,33.383236,56.259645,6.399962,174.972935,pigeonpeas
109.35,19.63,36.92,25.666495,65.875083,6.607806,169.711835,coffee
15.55,121.88,205.42,13.614963,94.04675,6.244959,120.485076,apple
3.59,10.11,43.98,25.979646,94.442777,5.181692,126.159265,coconut
14.65,51.71,20.67,24.600276,67.248937,6.60823,50.634805,lentil
7.67,34.2,26.61,32.84588,48.190572,6.212341,113.121726,mango
114.48,17.01,52.07,30.374914,90.8585,6.646449,23.45871,muskmelon
60.23,57.53,52.19,23.470875,93.657183,7.164326,157.264814,jute
139.83,51.68,20.14,25.785609,78.245829,7.410839,77.636565,cotton
1.09,7.38,10.27,18.426857,96.088292,6.464419,121.566763,orange
16.41,28.05,48.73,23.492676,90.269203,6.01461,100.349498,pomegranate
12.29,59.98,24.5,26.896464,73.790954,6.154649,60.27512,blackgram
80.81,54.0,39.43,25.861677,84.941416,5.673785,160.808872,rice
16.56,62.82,15.01,31.093604,58.490813,5.484883,54.896765,mothbeans
92.37,16.61,52.47,32.809078,95.045099,6.711238,22.02695,muskmelon
108.03,18.99,52.22,34.441937,89.918159,6.789025,59.373892,watermelon
15.31,60.45,29.28,20.292687,71.440063,6.886705,33.954362,lentil
25.9,61.08,21.62,33.927061,45.726114,6.710328,116.317816,pigeonpeas
2.75,106.63,210.97,21.239444,88.953406,6.714027,71.829547,grapes
35.44,49.01,19.95,29.180474,54.681281,6.991768,43.43336,mothbeans
12.13,22.99,45.62,27.209977,93.333758,7.437825,195.986536,pomegranate
86.18,40.95,43.31,25.614116,89.839745,7.082241,193.472967,jute
115.39,33.62,46.64,25.768693,81.153114,6.107993,59.539047,watermelon
103.16,42.14,43.66,25.673312,61.012735,6.005296,168.857317,coffee
68.68,42.91,43.01,25.861665,82.323411,6.999142,180.511984,jute
13.55,101.06,218.33,13.937322,94.972582,6.393941,119.710556,apple
76.93,64.19,35.43,24.628597,90.498624,6.540149,196.048117,jute
13.1,22.39,9.29,14.700474,91.271927,6.369871,102.695501,orange
15.18,23.13,28.9,35.041713,50.312469,5.708498,88.912793,mango
32.96,62.84,29.55,25.062498,25.708337,6.757205,108.526236,kidneybeans
89.26,22.87,57.9,24.267932,88.568286,6.808688,52.208867,watermelon
25.73,84.24,19.06,28.717113,45.913246,6.573882,143.299822,pigeonpeas
110.52,57.54,16.09,29.843781,76.648518,6.532473,62.897818,cotton
15.09,5.3,8.34,13.77072,93.547722,6.512393,119.469978,orange
88.49,37.63,57.73,30.942594,83.10056,6.579347,52.510767,watermelon
88.93,37.86,62.04,34.036982,92.479112,6.187891,21.343462,muskmelon
136.35,49.99,17.67,28.650809,82.015954,7.954337,71.31756,cotton
17.0,93.97,19.06,26.043688,20.833739,5.991712,130.150723,kidneybeans
16.07,60.72,84.25,24.510443,17.79105,6.614004,71.851985,chickpea
6.89,55.11,21.89,26.701244,60.295784,6.078133,97.195382,blackgram
31.36,65.02,24.34,18.820391,68.706103,6.581265,43.038129,lentil
97.0,50.87,37.77,24.208353,93.125984,7.48719,193.150795,jute
4.83,31.69,44.35,30.756181,92.083537,6.913497,190.554705,pomegranate
92.72,45.5,48.79,30.199454,94.807001,6.0889,27.323672,muskmelon
5.48,28.09,27.82,31.069665,92.154657,5.545345,127.514974,coconut
85.7,92.04,53.45,34.914863,84.811048,6.902803,98.721018,banana
116.13,19.17,60.73,33.730456,92.160757,6.035454,28.189475,muskmelon
103.92,77.09,61.28,28.534749,81.912853,6.08096,121.282812,banana
73.69,52.24,16.6,19.25807,56.834474,6.501235,92.775887,maize
1.53,55.37,23.56,23.465478,73.302089,7.135113,42.094298,lentil
6.73,141.29,203.94,23.087708,86.936509,5.933279,78.012904,grapes
115.75,28.27,46.74,25.220959,60.208454,6.855068,195.55893,coffee
0.89,74.05,90.55,19.278461,22.663111,6.76471,97.166505,chickpea
15.79,42.06,17.07,31.559155,83.639253,7.163137,36.05064,mungbean
26.02,62.9,28.59,19.389788,64.132663,7.3864,50.424678,lentil
28.67,58.6,26.37,31.297878,71.813438,6.376364,85.241126,blackgram
100.5,92.95,62.95,34.856357,86.679117,5.597777,109.358384,banana
96.55,54.45,59.09,24.364926,83.922566,7.364426,152.544778,jute
6.4,30.85,36.05,33.422977,51.411374,5.773687,87.238105,mango
37.88,66.08,24.94,29.280341,61.482981,5.28807,50.651802,mothbeans
7.69,45.73,27.15,31.753608,55.48552,4.810287,60.054829,mothbeans
91.27,35.98,46.87,32.076068,86.297297,6.587307,40.517248,watermelon
4.87,70.47,18.25,26.205774,66.984128,6.581089,97.646944,blackgram
7.06,29.65,11.46,12.30134,93.988117,6.607139,101.648812,orange
116.69,24.19,62.15,26.594088,90.612196,6.088612,59.721007,watermelon
6.97,131.05,217.14,7.777677,96.698003,6.887996,114.203112,apple
2.93,110.36,216.28,3.005294,90.247628,6.858795,126.289553,apple
114.7,25.4,32.61,31.291263,67.458734,6.105771,181.108096,coffee
7.37,53.23,21.56,30.648284,62.080614,6.43991,72.23772,blackgram
85.8,37.3,47.4,24.809417,90.696842,6.063532,44.490616,watermelon
114.51,44.53,17.45,24.923917,79.546687,6.49629,73.993198,cotton
63.71,51.83,21.07,20.57452,70.046578,6.256268,97.513299,maize
6.87,68.36,26.3,34.360475,61.750555,7.389587,84.058701,blackgram
1.78,137.25,223.01,22.56598,85.008703,5.640295,65.602768,grapes
38.12,76.03,64.64,24.080744,19.381917,5.783278,66.107605,chickpea
8.96,136.08,204.58,8.434516,84.24529,5.847613,75.87164,grapes
17.86,10.54,37.4,34.479718,93.708567,7.930693,144.803684,coconut
80.23,74.62,64.46,34.223332,79.876397,5.888279,116.184978,banana
7.21,60.26,17.36,32.783026,91.576094,7.119901,30.582684,mungbean
4.17,45.36,16.04,29.425694,48.292348,6.032874,56.570757,mothbeans
121.47,44.64,22.9,29.933119,80.265744,6.903498,70.291062,cotton
7.94,85.83,26.4,23.173821,24.766337,5.936576,152.897033,kidneybeans
128.61,35.56,15.68,28.55812,78.764449,7.336864,82.175449,cotton
115.67,22.84,45.4,30.643735,86.576264,6.749567,50.491995,watermelon
16.52,22.52,25.14,26.835615,95.251058,6.211503,122.097083,coconut
13.72,108.01,215.43,23.91364,89.015755,5.794195,73.590877,grapes
18.01,108.34,214.02,3.219371,95.76313,6.453585,108.823531,apple
68.27,71.12,61.9,35.050052,92.811844,8.092465,144.653632,papaya
74.94,45.71,33.05,25.83421,80.519619,6.887263,164.866971,rice
90.09,35.72,55.22,34.520429,93.570126,6.396673,58.937395,watermelon
118.86,35.73,40.13,25.117339,57.988223,6.026565,169.999059,coffee
1.43,133.49,215.43,3.97502,92.485327,6.935891,103.129909,apple
5.33,136.9,208.43,15.216464,89.932444,6.312266,62.630279,grapes
35.31,39.23,28.99,32.254587,56.941757,6.186673,84.620848,mango
11.94,18.78,36.46,29.736521,95.196515,7.976566,142.0625,coconut
22.35,57.44,17.21,22.418837,65.936502,6.789907,30.941749,lentil
32.68,57.43,22.68,29.229161,91.786033,7.189619,52.70809,mungbean
104.57,10.87,61.34,35.634265,92.157566,6.635377,26.01493,muskmelon
2.58,7.96,35.01,28.535202,91.642216,7.876817,157.070379,coconut
16.86,29.11,12.0,19.332388,96.985962,6.729294,121.730661,orange
92.19,28.86,45.01,37.209532,90.69369,6.682471,26.288655,muskmelon
18.46,20.87,5.24,19.134757,96.002243,6.952907,116.043207,orange
22.37,55.04,15.53,34.908658,60.645678,6.875131,190.23032,pigeonpeas
10.54,129.38,215.1,5.531841,92.069511,5.773214,116.734466,apple
1.7,58.94,78.2,20.311443,15.943337,7.148831,97.027467,chickpea
3.7,66.62,24.2,32.259616,65.031689,6.018385,85.289181,blackgram
113.93,20.65,36.58,31.256022,61.366829,6.565154,194.289678,coffee
37.61,96.85,22.99,23.780857,21.163401,6.129648,107.166906,kidneybeans
15.5,14.06,32.93,32.998575,91.259551,6.950981,145.082266,coconut
10.19,55.4,97.75,20.216382,16.471584,7.193342,75.967812,chickpea
17.5,68.25,16.22,29.169619,47.451513,5.865685,50.311302,mothbeans
11.06,41.21,27.24,25.941062,47.828882,6.145572,50.501297,mothbeans
19.14,108.04,223.26,9.091255,88.334328,5.635295,71.36002,grapes
9.04,67.51,97.83,20.026479,22.478505,6.580953,67.312351,chickpea
17.41,10.83,16.05,11.040907,90.187197,6.042261,105.107395,orange
18.41,63.83,25.48,24.847848,66.371365,6.892205,42.843404,lentil
9.63,54.52,19.74,28.979506,63.68677,7.498337,69.186093,blackgram
106.07,85.97,45.14,34.555279,88.026623,5.936255,149.865439,banana
16.58,17.85,34.5,27.669746,93.611332,5.787237,187.485616,coconut
2.67,26.5,13.65,11.115035,94.924694,6.646669,106.122442,orange
71.36,55.11,33.19,26.993733,86.656847,6.475188,163.566109,rice
0.56,30.09,22.66,28.049555,84.163737,6.920391,36.853094,mungbean
10.76,20.72,28.69,30.40581,92.697118,7.794306,194.713697,coconut
7.26,110.05,208.59,14.432589,87.206741,6.644781,65.480419,grapes
18.98,50.21,15.47,31.594489,53.961404,4.954874,47.499603,mothbeans
11.83,29.03,32.0,25.022895,95.468859,7.482137,124.696272,coconut
17.48,66.99,18.75,22.747904,20.377503,6.954898,110.375638,kidneybeans
14.76,27.8,43.38,26.570875,91.428676,7.264788,170.480791,coconut
31.81,49.13,23.88,25.698891,51.857322,6.610784,56.322943,mothbeans
113.61,91.45,61.46,30.483648,77.188398,5.618829,147.433149,banana
5.74,6.55,7.05,15.612174,94.785962,6.074502,105.566495,orange
84.52,38.22,62.0,25.658729,90.716799,6.469738,57.057818,watermelon
84.49,29.22,46.73,31.221147,62.475166,6.557967,189.37588,coffee
7.01,56.59,22.17,33.745056,67.500543,6.083088,61.595424,blackgram
109.0,30.37,45.88,29.6169,96.546747,6.103165,26.350928,muskmelon
111.18,41.98,46.25,27.900963,64.7463,6.483235,160.308266,coffee
100.24,33.39,49.2,30.009702,95.474231,6.671852,26.471875,muskmelon
18.58,121.35,205.91,14.058589,96.71854,6.941151,124.566922,apple
115.52,81.97,59.07,29.044477,83.999982,6.99723,149.071487,banana
83.83,46.94,23.11,20.536645,67.215403,6.330311,79.808325,maize
109.77,28.77,45.93,37.838395,94.699122,6.844183,24.381887,muskmelon
23.81,79.51,22.97,33.006718,68.927715,7.174632,86.223765,blackgram
8.29,125.95,198.06,4.215187,91.552918,6.017778,126.955173,apple
17.95,61.25,15.57,27.928468,61.840102,6.153555,82.434463,blackgram
12.71,43.32,17.38,28.587582,61.07147,3.700518,46.380241,mothbeans
112.58,17.24,55.34,31.269144,83.355494,6.516928,52.7689,watermelon
85.52,86.69,46.1,34.476983,88.528437,5.573401,140.298703,banana
112.3,17.04,63.66,33.730215,85.408813,6.305153,42.749734,watermelon
13.12,72.24,16.3,24.48837,62.962807,6.5431,66.485425,mothbeans
62.32,41.0,46.19,22.369195,88.444789,6.223859,265.294138,rice
5.21,10.8,28.54,31.894442,93.143662,6.165819,136.32723,coconut
33.82,20.81,28.7,31.403768,45.071273,6.232132,91.842149,mango
19.04,140.17,212.95,17.374326,93.78849,6.48328,73.167933,grapes
11.14,34.41,34.03,23.907552,85.026525,6.549268,119.46817,pomegranate
33.63,69.83,20.91,20.213829,21.424493,6.708725,153.709847,kidneybeans
3.65,100.34,200.99,24.561041,85.12855,6.256457,74.918716,grapes
99.16,63.79,54.01,27.471359,83.960168,7.181003,197.766727,jute
67.66,30.74,57.82,23.137451,83.075351,6.397716,151.097168,rice
127.83,38.84,24.19,29.248102,83.867034,6.958034,65.121201,cotton
5.36,41.88,16.3,29.278943,84.008287,6.51961,53.807332,mungbean
5.91,60.6,20.77,29.894299,71.78166,6.009135,97.298882,blackgram
19.44,71.81,19.87,22.695428,20.880359,6.397252,153.887205,kidneybeans
88.01,39.37,54.97,25.633351,83.874784,5.932492,252.374326,rice
10.01,143.2,203.79,17.557868,93.930599,5.744217,71.009712,grapes
18.13,121.56,195.97,4.903205,92.047161,6.575701,100.770181,apple
2.58,36.08,38.98,27.056098,87.262338,6.606796,170.205506,pomegranate
19.34,79.0,19.86,26.052576,58.292804,5.06722,127.563505,pigeonpeas
99.15,54.96,17.41,27.708847,62.614647,6.096288,89.237635,maize
79.65,66.79,12.16,26.790688,56.921905,5.730288,86.692001,maize
19.73,144.93,215.19,9.177853,95.439049,6.844831,115.579152,apple
2.28,96.22,19.68,34.822307,64.28734,5.285143,171.49243,pigeonpeas
12.06,8.37,36.0,27.696096,94.867894,5.084788,157.521875,coconut
22.5,80.09,29.77,27.479017,46.518967,6.123882,132.87856,pigeonpeas
79.23,50.9,55.71,34.545795,95.034804,6.640813,142.838531,papaya
48.08,71.9,59.27,41.458396,92.374518,7.887011,165.074949,papaya
27.5,51.89,71.46,18.118301,18.851852,6.328708,80.875057,chickpea
6.03,14.7,15.82,16.554078,94.914648,7.333499,113.688857,orange
77.6,46.59,49.62,26.788706,89.845781,5.932342,260.063025,rice
4.95,13.79,10.02,15.118298,96.018598,6.224085,110.221813,orange
25.09,59.07,21.61,23.685066,69.083875,6.568738,43.287265,lentil
20.41,40.45,26.75,27.4283,54.554856,4.875059,100.997962,mango
98.91,89.57,49.8,28.141666,81.275843,6.404769,147.349152,banana
100.09,96.47,45.48,30.015409,85.985931,5.782338,116.627434,banana
70.93,49.28,43.45,25.000353,85.935558,6.96134,197.014307,jute
11.62,141.38,217.53,22.215711,93.923477,6.454815,79.898455,grapes
65.5,57.14,47.38,35.677502,93.381907,6.521732,148.252874,papaya
2.79,132.02,197.76,1.769655,96.992102,5.889875,126.881449,apple
0.64,117.4,220.87,11.06889,82.120071,6.048146,68.563894,grapes
119.89,41.0,60.63,28.29345,80.988821,6.792667,51.943162,watermelon
121.49,36.61,16.77,24.042443,75.279155,7.444425,69.764236,cotton
11.69,98.6,25.62,23.494698,19.768656,5.948688,102.371417,kidneybeans
116.65,35.1,45.64,29.620994,81.286984,6.573751,50.179234,watermelon
18.62,57.14,16.25,28.902761,50.153742,5.339881,195.320377,pigeonpeas
18.93,57.94,20.65,19.662599,64.061035,7.067407,43.868261,lentil
97.55,46.02,62.38,31.441563,94.872063,6.660499,27.712119,muskmelon
111.59,91.98,47.57,25.344601,78.363515,5.891216,90.852782,banana
14.65,56.34,25.3,18.985375,67.880804,7.29183,50.128178,lentil
11.49,121.84,216.25,1.456352,92.997485,6.248237,124.931539,apple
23.5,83.22,21.56,24.805087,25.979007,5.740584,112.144317,kidneybeans
4.95,34.45,40.54,36.705167,59.226104,5.183413,81.176384,mango
65.39,65.81,14.81,21.607587,56.105408,6.036054,73.240359,maize
8.3,7.66,5.53,12.445043,93.346901,6.761524,106.527261,orange
23.36,17.22,44.17,30.050648,50.384589,6.059074,117.806621,mango
2.99,25.14,29.33,25.781493,95.24655,6.824378,151.555419,coconut
96.13,51.62,58.9,25.474036,88.668014,5.671156,259.862025,rice
10.61,25.49,17.19,13.898331,95.470061,6.309364,115.096865,orange
114.77,19.5,35.4,30.601234,61.114231,6.822348,159.513448,coffee
102.99,40.07,24.1,27.005658,79.576902,7.495353,87.075914,cotton
37.27,89.27,28.84,34.166803,57.987852,6.856477,141.67041,pigeonpeas
6.22,53.87,27.18,33.187018,71.081391,7.440796,70.821585,blackgram
115.81,41.6,48.95,31.720795,95.461682,6.527092,21.744919,muskmelon
10.86,44.3,22.18,29.939097,92.274341,7.155839,30.565547,mungbean
90.96,38.15,38.12,27.440181,66.803377,6.616783,177.827076,coffee
75.33,51.89,46.59,26.55298,87.803015,6.219054,206.453921,rice
98.85,35.45,53.57,37.621352,94.938095,6.001274,20.232795,muskmelon
72.32,64.1,43.14,33.712345,95.901201,8.057231,150.081447,papaya
68.77,52.86,48.57,36.521909,95.010245,6.898449,173.159455,papaya
18.2,54.72,21.91,26.306453,86.769689,6.617484,35.631478,mungbean
4.88,116.89,214.72,17.475566,85.529827,5.751116,70.109644,grapes
38.93,32.48,33.59,32.659369,55.036148,5.587384,97.908392,mango
25.53,38.38,18.38,32.791385,85.431099,6.107381,31.092958,mungbean
30.07,62.55,70.91,18.047123,18.827039,6.105929,74.770914,chickpea
76.56,49.53,11.17,18.298348,61.929573,5.528551,68.274388,maize
16.6,35.21,30.55,27.024081,50.167443,6.261981,95.724531,mango
7.41,32.41,45.07,30.332467,93.138613,6.999463,188.574515,pomegranate
5.97,28.02,44.27,27.288434,96.163169,5.416754,180.922913,coconut
8.24,27.16,37.71,32.76448,55.847409,6.591011,96.365613,mango
87.07,41.98,10.02,20.122771,72.89023,6.469436,68.598018,maize
12.51,21.53,27.91,30.525246,91.702392,5.049355,189.352887,coconut
15.41,79.86,17.29,29.706476,54.668374,6.294513,67.258533,mothbeans
92.69,88.35,62.03,28.045964,81.758104,6.498381,97.828053,banana
6.47,13.08,40.27,28.480155,94.737159,6.337663,168.624373,coconut
73.19,34.34,33.1,24.113512,81.70593,6.88768,237.159171,rice
38.79,59.53,23.88,27.571505,55.858834,5.64091,128.346555,pigeonpeas
105.04,20.44,34.8,28.826154,59.877961,6.760331,169.305397,coffee
30.15,61.4,73.4,23.765595,19.720791,7.185464,77.85558,chickpea
1.95,6.31,26.29,26.04752,95.850081,6.631031,195.791055,coconut
26.2,64.45,29.69,25.980798,61.584423,6.188192,124.485475,pigeonpeas
49.59,76.64,43.81,39.423778,90.079386,7.81184,145.712618,papaya
82.66,19.73,51.02,32.243521,93.31191,6.291472,27.904504,muskmelon
29.49,69.88,20.22,27.85509,87.436985,7.284863,51.857809,mungbean
64.95,57.83,41.93,22.106641,84.88584,6.494296,293.343489,rice
83.4,20.88,44.76,29.826652,63.428547,6.820585,193.311583,coffee
32.67,58.24,23.24,30.496338,69.03961,6.083229,66.74475,blackgram
19.18,33.64,40.61,25.654228,94.718847,5.771572,184.958526,pomegranate
17.73,120.19,202.94,3.801774,90.93392,6.047376,126.159334,apple
106.49,31.01,54.28,31.805605,89.157417,6.489981,42.533227,watermelon
13.91,76.5,86.87,24.684696,18.080036,6.350164,92.484918,chickpea
101.0,15.91,63.38,25.265496,89.437583,6.103089,42.922014,watermelon
113.88,76.42,60.81,30.544597,80.660877,5.71858,149.861478,banana
98.43,24.43,37.14,30.948212,58.102585,6.367172,199.565098,coffee
91.53,34.14,46.8,27.551381,66.047061,6.415833,179.438303,coffee
13.56,85.19,18.07,18.842247,24.992259,6.646316,111.987696,kidneybeans
8.71,74.67,20.19,34.152378,50.317653,5.460201,56.098453,mothbeans
91.7,30.81,50.17,29.35344,82.192031,6.565395,44.905674,watermelon
19.95,58.65,17.7,33.783829,70.652504,6.858245,95.177386,blackgram
99.28,103.86,56.38,27.898917,85.553809,6.730097,117.926439,banana
128.94,53.46,23.89,28.126401,82.364593,7.608162,76.690646,cotton
1.8,87.4,16.08,23.329195,23.804678,6.038807,100.656083,kidneybeans
76.13,56.85,20.8,23.089342,73.141727,6.128951,92.35359,maize
87.38,35.58,49.2,33.530874,95.843684,6.38982,23.784722,muskmelon
16.94,14.08,15.44,15.892459,92.43046,6.414607,119.582293,orange
18.2,30.34,37.93,30.000437,94.152752,6.45166,181.974849,pomegranate
89.8,62.94,21.44,22.806076,64.129044,5.860339,92.24096,maize
107.72,46.84,49.51,30.021001,94.987791,6.501395,25.991612,muskmelon
15.84,106.55,213.72,20.529373,84.499496,6.811866,66.094232,grapes
75.22,58.62,40.0,35.317578,93.412797,8.142556,162.515182,papaya
81.76,42.83,58.13,30.497357,91.416937,6.357678,28.284029,muskmelon
15.55,26.44,7.17,13.370199,91.026019,6.430039,107.176133,orange
100.15,10.42,62.95,33.438905,95.776074,6.655511,27.966936,muskmelon
90.63,56.15,61.51,27.460374,80.570516,6.962044,199.95615,jute
15.95,143.94,203.68,10.549017,82.030952,6.396216,70.942061,grapes
85.8,38.77,40.09,26.07231,81.73543,7.055667,184.257972,jute
72.93,49.12,54.7,26.9427,81.14218,7.096454,164.30337,jute
107.93,42.92,37.75,25.695154,66.491323,6.010479,189.408732,coffee
101.09,47.78,15.36,27.741543,84.358083,7.814976,66.171363,cotton
11.51,25.05,45.41,33.576792,92.692436,6.56496,164.518596,pomegranate
124.4,40.3,17.25,26.263689,78.608951,7.353151,62.252286,cotton
30.61,54.85,28.5,24.531309,17.617588,6.537771,137.897713,kidneybeans
13.9,14.08,5.24,19.880226,93.733649,6.59082,115.565497,orange
112.33,25.95,39.96,25.841137,66.312501,6.15364,194.007077,coffee
6.63,90.98,15.48,21.539717,24.8366,6.533128,131.964426,kidneybeans
19.28,126.66,190.28,8.427606,93.23324,6.467922,75.26145,grapes
15.85,122.04,195.24,14.094596,82.479577,5.669322,65.526156,grapes
39.37,64.08,85.53,20.791462,24.852916,5.687616,76.494997,chickpea
37.64,19.26,30.19,33.911072,55.652287,4.901922,112.565246,mango
16.8,12.36,34.0,26.333784,94.394611,5.789171,187.543824,pomegranate
67.32,59.84,64.24,39.888117,94.717262,6.945823,157.958121,papaya
21.06,58.5,27.27,23.257459,19.371044,6.894398,106.911163,kidneybeans
103.51,41.9,37.37,26.245912,58.218731,6.846057,155.392443,coffee
7.9,26.44,38.87,31.120692,89.187292,6.268289,161.697325,pomegranate
8.61,67.54,24.58,33.996007,83.311254,6.934276,55.483855,mungbean
76.87,59.35,61.85,37.529657,93.232142,7.739023,147.526368,papaya
30.71,94.66,24.79,19.119693,19.658517,6.869977,105.32407,kidneybeans
27.79,50.95,20.17,24.993948,54.967481,4.053588,52.962713,mothbeans
18.73,19.51,37.24,30.168014,93.881475,7.003026,172.40282,coconut
14.06,79.85,27.02,24.006757,63.642014,7.027022,36.703339,lentil
4.53,25.0,30.65,25.595372,92.456595,5.717434,106.289124,pomegranate
35.05,23.06,26.4,32.998678,46.606059,5.19166,100.287456,mango
4.22,71.38,27.83,22.995821,64.366472,6.623891,57.020451,lentil
33.07,60.56,23.06,29.456,60.08775,6.861693,89.900236,blackgram
87.37,73.66,48.39,32.835307,88.707466,6.888173,107.892947,banana
95.31,28.6,53.5,25.684751,83.304222,6.064808,42.305712,watermelon
102.95,103.48,60.38,31.761505,78.952339,6.218321,110.126152,banana
97.96,42.45,52.63,34.826806,85.471801,6.497667,49.490512,watermelon
13.84,6.11,17.45,19.618251,94.25346,7.434763,112.391855,orange
97.42,54.03,12.95,21.77206,62.88214,5.696663,68.143575,maize
33.84,51.29,26.25,20.055908,68.980317,6.747678,34.66199,lentil
91.67,109.19,49.42,28.691427,81.440563,5.687596,112.96949,banana
15.33,88.63,27.04,18.997387,22.477938,6.938644,124.128284,kidneybeans
56.55,83.71,56.06,36.887067,91.582049,7.460844,145.7048,papaya
0.24,33.0,21.46,25.819199,85.307985,6.983237,39.25846,mungbean
17.42,21.59,33.72,31.490234,96.544894,5.298132,139.496882,coconut
131.35,51.45,20.18,23.294666,81.57495,7.28519,63.74622,cotton
12.17,28.85,45.56,25.504901,85.701269,5.92001,115.441943,pomegranate
49.84,60.13,42.73,39.485458,92.070912,7.53656,151.628525,papaya
99.54,64.55,21.12,22.687593,58.057542,6.880999,77.069353,maize
110.56,38.7,18.94,29.107971,78.470599,6.297645,75.678986,cotton
8.63,118.8,203.53,14.461736,90.821096,6.807813,109.814832,apple
17.33,110.68,210.86,10.670732,94.374153,5.878306,74.532703,grapes
94.22,19.2,40.01,27.660306,68.637002,6.480059,189.445114,coffee
88.94,23.81,40.77,25.867063,62.046685,6.255822,193.426511,coffee
94.85,34.23,61.09,26.642772,83.760521,6.607178,58.797596,watermelon
99.83,47.11,56.51,26.440339,78.482854,6.954823,171.404464,jute
8.33,74.36,28.71,34.10664,63.359016,6.46611,66.424911,blackgram
10.37,23.5,31.76,33.048246,53.75348,5.139279,88.256971,mango
133.93,48.84,20.82,26.341495,82.626209,6.829984,85.558188,cotton
68.58,42.26,55.6,21.637576,80.583027,5.922076,194.039064,rice
19.44,24.41,8.26,11.126516,91.464436,6.634142,107.100911,orange
9.71,132.53,208.34,20.935819,92.404733,5.534834,61.582641,grapes
7.11,71.94,29.36,28.026633,74.79242,6.567564,67.98894,blackgram
9.0,48.86,27.63,34.152772,85.638983,6.231365,51.604213,mungbean
113.73,35.03,53.33,26.700861,91.177061,6.945475,47.616194,watermelon
79.26,68.78,19.79,22.955066,57.213841,5.878654,74.738697,maize
1.09,55.53,26.97,20.718969,73.220831,7.135429,48.705863,lentil
39.47,72.92,16.39,23.058083,18.139074,6.627279,130.46062,kidneybeans
0.64,120.19,213.95,23.125427,84.488452,6.961325,76.89083,grapes
64.72,58.86,57.26,24.89795,82.6587,6.953765,266.812636,rice
15.74,13.64,12.43,16.738951,95.755797,6.451814,106.27662,orange
20.23,79.46,78.39,18.723961,22.197242,5.76231,67.943347,chickpea
10.34,100.23,212.3,9.832835,87.181226,5.890475,67.847659,grapes
90.68,30.27,45.46,29.299461,93.627756,6.309672,29.656698,muskmelon
9.05,118.92,211.23,10.868678,96.271836,5.909417,118.923288,apple
10.65,70.09,21.48,21.360278,72.735985,6.725242,30.829925,lentil
24.6,75.61,24.04,31.639861,52.848053,4.059085,49.617522,mothbeans
35.95,69.03,16.91,31.693661,54.749049,6.715793,64.205033,mothbeans
80.89,46.43,12.09,19.884743,61.882822,5.645215,107.36599,maize
11.19,51.28,84.58,19.989744,21.164685,5.717334,60.551094,chickpea
13.21,39.68,46.74,28.351327,90.730119,6.253834,159.977966,pomegranate
83.06,19.79,62.65,24.414587,91.050045,6.291944,49.052796,watermelon
3.45,20.36,11.24,16.758595,92.606994,6.769268,105.638741,orange
24.33,78.36,22.63,32.05551,58.287189,4.326937,48.499175,mothbeans
71.57,47.73,18.79,22.099824,59.377132,6.724084,103.028496,maize
35.28,85.01,22.08,28.215841,46.717724,5.489254,101.118675,pigeonpeas
13.35,32.4,41.8,31.133197,90.614813,6.925743,122.496825,pomegranate
20.83,70.31,27.33,26.576015,47.070205,6.005991,167.188759,pigeonpeas
3.32,117.66,196.76,18.124168,81.524232,5.904879,73.310413,grapes
8.15,44.46,16.8,34.98944,53.596972,3.506754,68.587864,mothbeans
0.11,64.94,23.33,21.006845,19.448407,6.190056,110.891386,kidneybeans
9.66,50.6,20.5,31.892715,62.193649,5.841631,56.414988,mothbeans
84.97,60.43,56.05,23.510284,82.339929,6.828886,187.735877,jute
19.26,131.01,208.77,1.980747,93.592682,6.916332,118.08674,apple
105.19,37.04,24.94,23.062187,82.081948,7.222131,76.576531,cotton
28.78,75.61,26.82,24.175542,70.200913,6.56764,35.49421,lentil
115.81,23.16,32.58,27.550944,68.197736,6.927417,191.105311,coffee
83.41,79.28,64.24,34.623452,80.728783,5.988687,120.600635,banana
5.13,101.44,218.88,16.601849,84.899497,5.517144,60.706549,grapes
12.4,48.55,27.67,33.026459,83.514897,6.186673,42.501968,mungbean
44.65,59.89,45.32,39.597501,91.508942,6.932197,141.129385,papaya
96.95,53.14,19.59,18.023088,74.86737,5.921345,63.103155,maize
82.61,29.2,34.04,29.310543,55.568653,6.167669,164.431635,coffee
101.24,20.0,58.04,31.627864,81.275892,6.373927,54.887546,watermelon
31.93,98.1,28.13,26.535779,60.533774,5.295894,191.338111,pigeonpeas
0.38,67.1,24.5,34.152613,66.205825,6.861701,78.999898,blackgram
5.03,52.14,20.16,34.399826,89.529353,6.780533,53.941185,mungbean
37.2,70.1,98.85,19.070685,19.549998,7.219062,77.930094,chickpea
29.24,63.27,17.49,25.449642,62.464799,6.387011,103.994647,pigeonpeas
90.0,40.39,33.72,20.286629,87.773431,6.23455,297.831025,rice
89.93,42.79,26.13,28.896643,64.333975,6.5773,191.675688,coffee
